S_ACCTBAL  S_NAME                     N_NAME                     P_PARTKEY  P_MFGR                     S_ADDRESS                                 S_PHONE          S_COMMENT
---------  -------------------------  -------------------------  ---------  -------------------------  ----------------------------------------  ---------------  ----------------------------------------------------------------------------------------------------
9769.31E0  Supplier#000007184         ARGENTINA                      19680  Manufacturer#2             AKfsS0cnFq64dK                            11-750-116-8427  ily blithely regular packages. fluffi
9703.05E0  Supplier#000003351         ARGENTINA                      80842  Manufacturer#4             vb7b9r9na5slC4 MNIQS8hJcWKZga             11-368-852-9514  refully regular requests. dependencies detect carefully about the pending, final d
9685.37E0  Supplier#000002843         ARGENTINA                      12842  Manufacturer#3             FPBWGrodgNgZ7FZ0pHjDquoJbjflt1h6yP        11-544-776-8269  furiously final deposits! bold instructions above the even p
9599.25E0  Supplier#000002745         ARGENTINA                      30241  Manufacturer#5             AiY,iWimTpLQ1CsF79                        11-409-317-7941  the carefully even warhorses haggle furiously according to the
 9560.5E0  Supplier#000003209         ARGENTINA                     163208  Manufacturer#5             qQYwsLNgelc0XrkX                          11-553-898-5474  regular foxes. even instructions haggle after the never final deposits. ideas cajole carefully
9497.65E0  Supplier#000000624         ARGENTINA                     118112  Manufacturer#3             JlCK4aBP3PCO                              11-487-571-9291  the silent, final pinto be
9343.63E0  Supplier#000006102         ARGENTINA                      98574  Manufacturer#3             APhYFpQ5j2m                               11-580-909-9223  e ironically final platelets. blithely even sentiments nag carefully ironic theodolites. gifts sleep
9261.33E0  Supplier#000006030         ARGENTINA                       6029  Manufacturer#1             FZwls8Wy7mYrj netgHZS4E                   11-166-588-6851  ss, even requests sleep bl
9141.11E0  Supplier#000004503         ARGENTINA                      46990  Manufacturer#3             XEsadZv5GN9PbM                            11-689-225-1159  cajole fluffily above the even, careful d
9077.74E0  Supplier#000000725         ARGENTINA                     158209  Manufacturer#3             fFk BGhsIcG6                              11-382-323-5460  pinto beans are carefully. blithely regular depos
8581.15E0  Supplier#000004227         ARGENTINA                      44226  Manufacturer#4             3BO8G2ObAldW4YnuYjoDytLx8CmnYoGb          11-223-593-6259  pinto beans. special, final accounts snooze. slyly silent dependencies bo
8277.83E0  Supplier#000001965         ARGENTINA                      21964  Manufacturer#4             Tgtqgw0UVj5ULgeIBpnkVp15                  11-456-304-1204  unusual epitaphs. blithely
8277.83E0  Supplier#000001965         ARGENTINA                     181964  Manufacturer#5             Tgtqgw0UVj5ULgeIBpnkVp15                  11-456-304-1204  unusual epitaphs. blithely
8227.98E0  Supplier#000007685         ARGENTINA                     195165  Manufacturer#5             4OCzF9LfDLYGF0pcgW9Z                      11-251-650-9168  regular accounts breach. carefully express dependenci
8153.24E0  Supplier#000005411         ARGENTINA                     162894  Manufacturer#5             f6zhj5JRnAr                               11-541-551-7273  es. furiously pending dependenc
8113.37E0  Supplier#000009948         ARGENTINA                     124923  Manufacturer#1             w1PNn1DPWwTuSTYO,cNw3                     11-573-223-6885  ar theodolites sleep among the quickly unusu
8113.37E0  Supplier#000009948         ARGENTINA                     157432  Manufacturer#3             w1PNn1DPWwTuSTYO,cNw3                     11-573-223-6885  ar theodolites sleep among the quickly unusu
8085.36E0  Supplier#000002982         ARGENTINA                     155436  Manufacturer#4             PzCwmAnHPfqfwKmdwHWkAtWz8xFgkj9x9 In      11-661-855-9797  boost furiously even deposits. blithely bold acc
8039.56E0  Supplier#000002762         ARGENTINA                      12761  Manufacturer#3             hFPPebJ3MhSGg8Fm8Glvq6rM                  11-404-694-4902  y ironic ideas cajole slyly according to the ironic, furious deposits. express requests haggle sl
7507.87E0  Supplier#000004466         ARGENTINA                      71958  Manufacturer#4             hs6l3USBeqgcu2NPt                         11-575-885-9085  final frays above the blithely perm
7178.39E0  Supplier#000005584         ARGENTINA                      50573  Manufacturer#2             yVlen4zXsSVtrwi1                          11-492-434-5408  st. carefully regular deposits wake slyly. accounts sleep quickly even accounts. furiousl
7147.22E0  Supplier#000001124         ARGENTINA                      28621  Manufacturer#2             I ptruqPB5c1felgrY9dsu                    11-219-426-9501  uternes impress. regular, regular instructions nag quickly carefully ironic instructions. s
7067.64E0  Supplier#000009623         ARGENTINA                     124598  Manufacturer#4             gzSBhAv86RXlqw4d2OArfp6YygO9qrHzL3MSlE4   11-796-392-8340  uffily pending packages. ideas are quickly: per
6990.21E0  Supplier#000002017         ARGENTINA                      54501  Manufacturer#4             5X3irJUk8 SA0E6RokqWc06wX9                11-940-342-7501  y final deposits hang. blithe instructions boost from the pl
6914.94E0  Supplier#000005482         ARGENTINA                     172964  Manufacturer#1             VQESGLA8d WzJaQ                           11-156-303-6195  ideas about the express dugouts unwind furiously alongside of the warhorses. qu
6753.33E0  Supplier#000006193         ARGENTINA                     128656  Manufacturer#4             J19B0Fhucw3DGyG ZuJwvsX8                  11-208-207-5184  unts-- blithely ironic excuses along the pending, bold packages nag carefully across the even re
