PS_PARTKEY                 VALUE
----------  --------------------
     83197         1.952383816E7
    130631          1.71123874E7
    186392  1.6470758309999999E7
     14918          1.64291988E7
    149802          1.63367625E7
     42743  1.6159095719999999E7
    126398         1.610769098E7
    157440         1.595526607E7
     44581         1.564735734E7
     23236         1.553269584E7
    181979         1.527500805E7
    114268         1.522586988E7
     20139         1.519011883E7
    119216  1.5187671780000001E7
     76340  1.5024648280000001E7
    186810         1.487139291E7
     59249         1.481246768E7
     19707         1.478842688E7
    174260         1.471690134E7
        29  1.4706367900000002E7
    105722         1.467735721E7
    168246         1.461615141E7
    123984         1.449147655E7
    169546  1.4357566600000001E7
     81501         1.419870252E7
      2002         1.410507772E7
    123480         1.396944602E7
    158206         1.396841398E7
    158435         1.380975921E7
     31036         1.348772564E7
    151811          1.33239108E7
      4502  1.3045709440000001E7
     64260         1.301700995E7
    199787         1.299480647E7
    187842  1.2939785219999999E7
    156900         1.289049263E7
     39301         1.279468589E7
     97654  1.2788806260000002E7
     78273         1.262550078E7
     82251  1.2608559809999999E7
    160736         1.256854845E7
     90194         1.255086432E7
    195270         1.253879407E7
     78181          1.24657537E7
    193352         1.238487706E7
     92754         1.235887205E7
     12265         1.231767152E7
    193151         1.229895959E7
    128755  1.2243824170000002E7
     11040         1.214141176E7
     51931         1.210375564E7
    151000         1.207032951E7
     95263          1.20478533E7
    173535          1.20475131E7
     62088         1.203023916E7
     21520         1.194833055E7
      5378         1.194051815E7
    134914          1.19319584E7
     65709         1.189547764E7
    106261         1.188215748E7
    148436         1.187387002E7
     93222  1.1842108559999999E7
    162472         1.183177144E7
    181129         1.180922491E7
    164641  1.1803365719999999E7
     53236         1.177079158E7
    121055         1.169661504E7
    194445         1.168814651E7
     31411  1.1611719790000001E7
     34914  1.1580487440000001E7
    166231         1.151690299E7
    147680         1.147994632E7
     63805         1.141844016E7
    150018  1.1411697239999998E7
    154298         1.140500508E7
    184379         1.137819018E7
     44457         1.133679393E7
     18700         1.133116124E7
     84939          1.13178151E7
    121867         1.129042181E7
     43205         1.128509754E7
     75906         1.128382434E7
     85840         1.127545178E7
    113146  1.1270834030000001E7
     36405         1.126458278E7
     39364         1.125055806E7
     97725  1.1228008079999998E7
    129122          1.12279763E7
    183204         1.115424096E7
     86795         1.114103527E7
    109581         1.109701573E7
    125121          1.10882828E7
    107073         1.108719976E7
    163960         1.106014468E7
     93993         1.103324781E7
     22093  1.1010006709999999E7
     91870         1.097569803E7
     68240         1.096496346E7
     70320         1.094113806E7
     39576  1.0939268780000001E7
    190939         1.092338302E7
     15374  1.0919168850000001E7
    166441         1.090141532E7
    100742          1.08635227E7
     93195         1.086234592E7
     75728         1.085870398E7
    158325  1.0845454170000002E7
    120632         1.084045904E7
    168220         1.083749785E7
    146779         1.081539966E7
    128159         1.074892356E7
     80856         1.073645898E7
     14686         1.066684709E7
     41778  1.0632920850000001E7
      9562         1.061802784E7
     96164         1.059915983E7
     48040  1.0591176629999999E7
     90534         1.053658635E7
    118573  1.0532933120000001E7
    168954         1.053223217E7
    107875         1.050132738E7
     89303         1.048920557E7
     29509         1.044135618E7
    156030         1.042611583E7
     56801         1.041152552E7
    198113         1.040011077E7
    157344  1.0371711639999999E7
    197436          1.03441845E7
     51778         1.034340326E7
    161444         1.033125323E7
     66203  1.0330695040000001E7
    140209         1.026484632E7
     94379         1.026213354E7
     28910         1.025348926E7
    185722         1.023388949E7
     17834  1.0229633530000001E7
    100124          1.02281967E7
     88198  1.0218245879999999E7
    109431         1.021407696E7
     96502         1.020377746E7
     92072           1.0195045E7
     28360  1.0194496530000001E7
     72820         1.015835098E7
     49561          1.01466074E7
    160948          1.01432015E7
    152533         1.012525552E7
    114451         1.006206408E7
     61020  1.0021693000000002E7
     38128          9982896.96E0
      1627          9962273.26E0
    173541          9941318.98E0
    122002           9896640.1E0
     26497          9882233.55E0
    190894   9866027.440000001E0
    169502           9848614.6E0
    171607          9833884.32E0
    189546          9818509.67E0
     70920          9817493.84E0
    187436          9807168.52E0
     40053          9800129.85E0
